               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12848,            0.061565,                   0,          0.00083333,            0.031579,          0.00061781,          0.00018946,             0.13101,               0.056,                   0,              0.0946,              0.0006,              0.0006
                   1,             0.12443,            0.066072,                   0,            0.030951,            0.063158,           0.0062377,           0.0010516,             0.12135,            0.064117,                   0,            0.088287,           0.0012871,           0.0012871
                   2,              0.1162,            0.069988,                   0,            0.029463,             0.13684,            0.021016,           0.0032639,             0.11044,            0.069122,                   0,             0.08196,           0.0019604,           0.0019604
                   3,              0.1091,             0.07796,                   0,            0.057492,            0.071288,            0.012898,           0.0023418,             0.10469,            0.072678,                   0,             0.07562,           0.0026198,           0.0026198
                   4,             0.10386,            0.071327,                   0,             0.15111,             0.27368,            0.090229,            0.018161,             0.10105,            0.066875,                   0,            0.069265,           0.0032654,           0.0032654
                   5,            0.097857,            0.067017,                   0,             0.11454,                 0.4,            0.086101,            0.020383,            0.092562,            0.061874,                   0,            0.062897,            0.003897,            0.003897
                   6,             0.09184,            0.057993,                   0,             0.23194,             0.36842,             0.21989,            0.048054,             0.10281,            0.066669,                   0,            0.056515,           0.0045149,           0.0045149
                   7,            0.087779,            0.055778,                   0,             0.33428,             0.42105,             0.29002,            0.060353,             0.10422,               0.056,                   0,            0.050119,           0.0051188,           0.0051188
                   8,             0.08796,            0.052219,                   0,             0.22431,             0.43158,             0.16563,            0.037876,            0.082495,            0.053238,                   0,            0.043709,            0.005709,            0.005709
                   9,             0.08905,            0.049918,                   0,             0.18058,             0.31579,             0.14384,            0.033647,            0.090831,            0.051006,                   0,            0.037285,           0.0062852,           0.0062852
                  10,              0.0884,            0.050305,                   0,             0.12659,             0.34737,            0.089962,            0.017313,               0.111,            0.047771,                   0,            0.030848,           0.0068476,           0.0068476
                  11,            0.088461,            0.046723,                   0,             0.46533,             0.52632,             0.43095,            0.086454,            0.090821,            0.049255,                   0,            0.024396,           0.0073961,           0.0073961
                  12,              0.0833,            0.053877,                   0,             0.44349,             0.51579,             0.41049,             0.13415,            0.084892,            0.052116,                   0,            0.017931,           0.0079308,           0.0079308
                  13,            0.082611,            0.052862,                   0,             0.36585,             0.55789,             0.40869,             0.12816,            0.088304,            0.050896,                   0,            0.011452,           0.0084516,           0.0084516
                  14,            0.082866,              0.0502,                   0,             0.32184,             0.55789,             0.31274,            0.098609,            0.089512,            0.047768,                   0,            0.008614,            0.008614,            0.008614
                  15,            0.080023,            0.045604,                   0,             0.19412,             0.67368,             0.18557,            0.052992,            0.094504,            0.043533,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.083115,            0.044006,                   0,             0.58443,             0.50526,             0.57906,             0.18128,            0.077742,            0.044884,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.069589,            0.053018,                   0,             0.55482,             0.67368,             0.61725,             0.17994,             0.07299,            0.055752,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.06896,            0.049954,                   0,             0.26979,             0.64562,             0.27561,            0.090144,            0.074605,            0.049202,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.065888,            0.050956,                   0,             0.37553,             0.66466,             0.49964,             0.20339,             0.06589,            0.049339,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.065203,            0.048538,                   0,             0.17322,             0.75789,             0.18282,            0.062637,            0.073492,            0.061008,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.061857,            0.046167,                   0,             0.26439,               0.681,             0.33198,             0.11287,              0.0728,            0.050591,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.062379,            0.047204,                   0,             0.44491,             0.71579,             0.57608,             0.23727,            0.068239,            0.049984,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.062108,            0.047925,                   0,             0.49519,             0.70526,             0.61068,             0.26238,            0.065629,            0.047897,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.061143,            0.048837,                   0,             0.73341,             0.73684,             0.75771,             0.24691,            0.055134,             0.04987,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.054725,            0.047642,                   0,             0.40057,             0.72632,             0.56392,             0.19517,            0.073964,            0.057446,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.062241,            0.046585,                   0,             0.51805,             0.71579,              0.6569,             0.29115,             0.06142,            0.046803,                   0,            0.007525,            0.007525,            0.007525
